,text,people,process,product,system
60,I am raising a request of my end Sir. Haan and the work will not be done. This is what you want to say.,1,1,0,0
61,I am sorry your policy would also get cancel soon. can I take a policy from a different company also?,0,1,0,0
62,I can give information what i can. i am not saying you are lying but  I am also saying.,0,1,0,0
63,I can send you the link and also ok yeah yeah let's keep it handy also you send me the link,0,1,0,0
64,"I can understand, Deepthi ma'am. But the this mismatch was happened and our email team have",0,1,0,0
65,I did not check what my last year's N C B was. They did not ask me the question. I have not reported any information,0,1,1,0
66,I don't know how the software is made and then then it is again creating a problem.,0,0,0,1
67,I don't know what is the problem with you people we can also we can also mail it within a minute however yeah.,0,1,0,0
68,I don't want anything on my mail I D. no sir I am telling you that here we are unable to open it.,0,1,0,0
69,"I get a chance to speak to someone or I can Complain it directly to required to I R D A or someone or the Ombudsman, I can complain",0,1,0,1
70,I got from Reliance General Insurance. Right. So Yeah they told me that they can't help you in this matter.,0,1,0,0
71,"I guess because,I am being aware it is cashless facility and ahh ahh as of we don't have to pay anything.",0,1,0,0
72,I have been calling. I sent the mail on Saturday. You know people will lose,0,1,0,0
73,I have given all the details and he said that there is no claim registered and I have a recording of that and how come if you can't provide me the information how can you give me the wrong information.,0,1,1,0
74,I have not bought it yet no I will be you want to cancel did you buy it from you buyed it.,0,1,0,0
75,I have not received the email. You want to me screenshot my inbox. Do you want me to mail that as well?,0,1,0,0
76,I have send the proofs from my personal mail id already.Ok just a moment,0,1,0,0
77,"I have to disconnect the call sir then. Mam i am saying i could not, this is a network problem somewhat getting that was happened.",0,0,0,1
78,I mean but ah she doesn't for cheque. there is a requirement for cheque cancel cheque.,0,1,0,0
79,"I paid the money. And today Fourteen, I did not get back my money. OK.",0,1,1,0
80,"I was waiting for the call for more than three hours four hours. Till now, the call has not",0,1,0,0
81,I why can't you just search the email with B L K hospital it will help B L K.,0,1,0,0
82,I will disconnect call.Two Eight double zero .there is no response from I will disconnect.two eight double zero two eight,0,1,0,1
83,I will send you the link through that application itself you  can register the claim it is very user friendly it has ah very benefits,0,1,0,0
84,In our portal so drop a mail to on this mail id. I dropped a.,0,1,0,0
85,Informed our branch about about it about the accident. Tha That is why I am intimating. The policy holder himself tried and.,1,1,0,0
86,"Insurance letter, which says that Rat bite is covered for all New India Policies which is normal. I don't know why Reliance General is cheating this",0,0,1,0
87,"Insurance, so i don't want to change the Insurance Company, can you give me some discount.",0,0,1,0
88,"Is there anything else that i can assist you? Nothing, Thank you so much for assistant. Only thing is it was a bad network",0,0,0,1
89,Is there anything else which can i assist you further Mister? Basically what you have to do is fill the form and give to the.,0,1,0,0
90,"It was fifteenth June to Twenty one June and I immediately tried calling the Call Center. They said, you know it is not working.",1,1,0,0
91,It was online I did not received any hard copy so i missed out from my email.,0,1,0,0
92,It was some kind of System error. Ev even you know they were not able to find my Insurance.,0,0,0,1
93,J you guys are written it wrong yeah it's C J may I know inshort for the updated mob,0,0,1,0
94,Mail has been sent to to your email id sir is it. OK. Is it possible to take a screenshot?,0,1,0,0
95,Mam check your mail id once  i have send a mail for my side ok. yeah. its r g.,0,1,0,0
96,May i know why? Han I don't know why my system is not allowing mam as usually.,0,0,0,1
97,My Pincode was wrong. And it was not delivered to. The hard copy was not delivered to my,0,1,1,0
98,Nine Double Zero Three Two Zero Nine Two. But I have not received any email. Could you please for which email address?,0,1,0,0
99,Nine Eight Three Five Three. Five Zero Three Two Nine. Five Zero Three Two Nine. yeh policy par registered mobile number hai right,0,1,0,0
100,Nine triple zero. Four zero eight one. Four zero eight one. Alright. Last time when I called they told me that,0,1,0,0
101,No Mister Das that is the wrong information i would like to say because i have checked here in my system.,0,1,1,1
102,"No, I am lease interested in registering a Complaint and done with Complaints. I you can change my Surveyor, I will be much",1,0,0,1
103,"No, I have got the revert, I am telling you. I I have got the revert. They said they will not do it.",0,1,0,0
104,"Not a major issue, However this is a this will take long time also.",0,1,0,0
105,Not be intimate calls you know he has called me till today so that's the reason I'm canceling the claim,0,1,0,0
106,Now it is not possible. Now sir no it is not possible sir. Our Reliance company has launch a app na you need,0,0,0,1
107,"OK It said that number is not reachable, So that number needs to be cancelled immediately and give numbers where we can.",0,1,0,0
108,OK OK Just transfer the call. Yes sir while transferring if the call get disconnect,0,0,0,1
109,OK can you ple or can you just take down me cover yeah please help me with the policy number or de.,0,0,1,0
110,OK please be online may I know the policy number? yeah it's One One Zero One.,0,0,1,0
111,OK really so sorry sir I here I can able  to check or the policy is under the state of it was already got expired.,0,0,1,0
112,OK sir so OK on that mail I D the policy you have buyed you send us the photo of it.,0,1,0,0
113,OK so for that I have been registered for a claim. yes yes I can see in that detail I think to ah.,0,1,0,0
114,OK so i didn't get any a S M S from your side OK it's ala it's about,0,1,0,0
115,OK so it can't be done online. because there are that time the website there is showing no record.,0,0,0,1
116,OK that's why I have called can you send them all again? OK sir you are. OK I will hold on can you send it I will check it.,0,1,0,0
117,OK they have mailed at around Four P M Four P M.,0,1,0,0
118,OK yeah. I have send it on your mail id. yeah thank you. is there anything else.,0,1,0,0
119,OK you don't have any. no which email I D did you send avend you say. yeah Z A H I O N N,0,1,0,0
120,"OK, So another person coming from back side, you know he he didn't observed my car and hitted my back bumper you know which is a major claim now.",0,1,0,0
121,OK. This is the first time I applied for a claim. and This is the thing you people are ponding.,0,1,0,0
122,OK. is there anything else I OK can assist you with mister Hulle? that's it. OK if you are happy with my service,1,0,0,0
123,Ocotober yes prior to that my insurance was from Tata A I G ok I took this insurance under this inst,0,0,1,0
124,"Ok now tell me how can i pay online? Ok so, you want not. because it's not showing.",0,1,0,0
125,"Ok since I was busy  i had to disconnect the call,ok you want to disconnect",0,1,0,0
126,Ok. Eleven fifty something. I don't remember the time. Today morning Eight o' clock there is a message,0,1,0,0
127,Ok. Ok So I have already sent a mail to your whatever r g i,0,1,0,0
128,Ok. So this Claim can't be processed Sir. Its it is the reason it has been reput,0,1,0,0
129,"Ok. Tomorrow, if I go with for some claim, I am not get such claim. So sorry for such inc",0,1,0,0
130,Ok. Will surely get a call from our end. What is the use madam? Where What sort of ethics you are op your people are having?,0,1,0,0
131,"Ok.So I do not want it. Ok. So, Minus that and tell me the premium, So he is giving me some wait figurevast figure.",0,0,1,0
132,"One more thing. Yes. If i didn't pay today at any any cost, i didn't, i can't pay No no no.",0,1,0,0
133,One. Three Eight Nine Six Eight. Three Eight Nine. Hukar is the name of surveyor he is not coming he is not picking up the,1,0,0,0
134,P A. hospital will get the mail sir hospital will receive the mail. OK and about this can I have my ah any res,0,1,0,0
135,Pay. Like I mean. It's really crazy. You people kept you know like I mean hassling me one week back.,0,1,0,0
136,Policy. Only one day amount will be deducted from your account and. No but again I have to do no Madam. I don't want to cancel,0,1,0,0
137,Policybazaar you please check with them. Why should I be put through this trouble of going back and checking my last year Policy when that's not even a declaration I have made.,0,0,1,0
138,R Three they will be receiving the auto generated email sir. auto generated email which,0,1,0,0
139,Regarding this they only answer ok. Ok. But I didn't get any request form them.Yesterday evening I contacted them they told that they,0,1,0,0
140,"Regarding this. Ok. On this mail id we will update,Is there any thing else",0,1,0,0
141,Registered Mobile. I sent the mail also. Still they have not done that one. I really don't under,1,1,0,0
142,S M S for the confirmation that you are sending you the link to make the payment that's why after it will be communicated.,0,1,0,0
143,"Saturday morning I called. They said you know you are not calling from the Registered Mobile. You send a mail, we will do it.",1,1,0,0
144,Say if you don't have the the information whether it is expired.,0,1,0,0
145,See after getting hospitalized and paying such high amount I don't want to you coming back saying that.,0,1,0,0
146,"See here. Ah, I am put in the policy number and I am trying to trigger it to my email.",0,1,1,0
147,See my request is you know I don't want to cancel the Policy. You make the month correct and then resend it. That's what I am ask,0,1,0,0
148,See what happened was I did not file any claim in this policy  but you all are showing as if,0,1,0,0
149,"Send the mail to this mail id regarding this they will. Sir, Actually I",0,1,0,0
150,Seven days we can get back the money which I already paid aaa OK but,0,1,0,0
151,"Should be same as the Last years Premium, but instead the Premium has gone up, i am not able to under.",0,0,1,0
152,Sir I can arrange a call back for you. This what I am saying the many times but you people.,1,1,0,0
153,Sir I would like to know again have you intimated the claim on this policy itself. I have without intimation how will the.,0,1,0,0
154,"Sir, I am just telling to visit. You are just telling me telling me you are wasting my time again. You make the correction no. Give it to your senior boss. I will tell him.",1,0,0,0
155,"Sir, i am transferring my call to the Senior executive, just talk to him he will give you ok.  i don't want to waste my time i have i have you know..",1,0,0,0
156,Sir. I just wanted to now how much time it will take,0,1,0,0
157,So I called him up after fifteen days to check on whether he had investigated what,0,1,0,0
158,So I dont have any P E D.So I can't able to do anything.Ok you have to send up to this mail id,0,1,0,0
159,So that should be good. Everything is fine and I it will just get cancelled if i don't Renew the amount.,0,1,1,0
160,"So you may know why i had called you. Sorry. You must be aware why i had, i had called you right now.",0,1,0,0
161,"Soon after I disconnect the line.Ahh waiting for, say Ten minutes I have not received any message",0,1,0,1
162,Sorry for the inconvenience. And the second thing was I called him and he told me that the Bill had,0,1,0,0
163,Sorry for the inconvenience. I am not able to take a request for the correction. Oh my God.,1,1,1,0
164,Starting.Last Two Hours I am trying to call you guys for help. Somebody comes and open the door but he doesnot have,0,1,0,0
165,Taken a request. You told me like you told me like you have sent out an email. But I am.,0,1,0,0
166,Ten minutes ago I called and the call gets disconnected that is why called you to finish my job,0,1,0,1
167,"That 's when I issued the country, I noticed you know there was error actually in the month",0,0,1,0
168,That email has been sent o sent it back or to me again. I will be online. I will wait for you.,0,1,0,0
169,"That is not paid sir,That is approved but after wards we have deducted the amount from",0,1,0,0
170,"That lady said that, I have not got a call",0,1,0,0
171,"That mad girl I told her to all the spelling. In spite of this, she has written. See what she has written. I am telling her then make the correction. Nah nah nah, you go to this",1,0,1,0
172,That that may be that that is my decision that NCB has not you know its not valid.,0,0,1,0
173,That the first consulting day is One FIve Two Thousand Nineteen. I have already sent the mail from my personal mail id.,0,1,0,0
174,Then I will have to get in touch with Policybazaar to say why is somebody saying there is a mismatch because.,0,0,1,0
175,There is some sort of disturbance is there in actually is there any alternate number,0,0,0,1
176,There will be decreasing rate  of the vehicle that's why the premium is are.,0,0,1,0
177,"They had charged me for the booking amount, okay, they haven't a  yeah I need the amount for that.",0,1,0,0
178,"They have also sent a revert regarding this.no, I have not received any revert email. Just I received a message.",0,1,0,0
179,They have sent out. They have sent it give me a mo on s h a m e s h k u m a r Six.,0,1,0,0
180,They mailed us that your axel is your final approval. have they mailed it across?. right sir right mailed they was never.,0,1,0,0
181,They say you know we will not do it. I am asking why they cannot do it? See mein apko bolta hoon when I got the revert,0,1,0,0
182,"They told me that I havnt received any,They havent received the claim approval for the",0,1,0,0
183,"They will definitely do. Last Four Five time sir I am waiting waiting waiting. OK just be online, I am transferring.",0,1,0,0
184,They will reply by today morning but till now I didnt get any reply for that mail. Yeah you have to wait.,0,1,0,0
185,Thirty Thousand. but actually not sending mail ah please. could you provide your mail I D?,0,1,0,0
186,"This claim will be related to Vyclone, That damage has caused due to that.Sorry.",0,1,0,0
187,This is unnecessary I only feel that why should I let go to this amount which I have let it.,0,0,1,0
188,This paym you got the payments no that Twelve Thousand something. was there any fraud or any cheating?,0,1,0,0
189,"This time I have not received.Sorry for the inconvenience sir, no need to worry, I will send you the ah soft",0,1,0,0
190,To this mail id only sir. We can't able to do any thing sir.,0,1,0,0
191,"To this regarding mail id we can't able to do anything sir.But It takes too long time to processing sir,",0,1,0,0
192,Today only so that I didnot call up again because I am holding the call for last Ten Minutes So. Ok sir no.No issue I will just place a request,1,1,0,0
193,Told me that lady she will call me back. She never called back. I am so sorry for the inconvenience.,1,1,0,0
194,Tomorrow you will not be able to give call call back like Eight O clock right. No sir.,1,1,0,0
195,"Try to give you the best Quote ok, Just be on the line. Dont lie, I have asked to give me, i have called you.",0,1,1,0
196,Two Hours and I am trying you to call you guys Forty Five Minutes you dont reply then somebody comes,0,1,0,0
197,Two Thousand Twenty I am sending that copy on your registered whatsapp number as well as. But I am not.,0,1,0,0
198,"Two time ok mam today itself, I called up once last just  Fifteen  Twenty minutes back I am telling you I was talking to somebody",0,1,0,0
199,Two to Three minutes OK OK no problem. OK just be online. take set to know renewal reminder,0,0,1,0
200,"We are waiting this for the approval,Still the work is on. It will take Four Hours sir, Maximum but",0,1,0,0
201,"We can track our id right. what's going on. So what I am saying is, I can.",0,1,0,0
202,"We can't do anything sir. Ok Is there,Is there any way to contact rather than email",0,1,0,0
203,What exact summary you people are looking for? Even I don't know. Sir they are mostly.,0,0,1,0
204,"Wheather,we ok,we need to pay.They are just,They are just asking you too",0,1,0,0
205,"When did you inform us Sir? See some information has come to me, wherein they said you know they cannot do the",0,1,0,0
206,Why did you accept my call? Why did you ask for my policy number? Give it to your senior people. Let them come on Monday. Let them call me.,0,1,1,0
207,"Why it is taking so much time.Sir it is a proccessing period sir,Minimum we required",0,1,0,0
208,Why you are not able to find any of the details? I have attached in the email as an soft copy as well.,0,1,1,0
209,"Yeah but still sir, we have received it from an unregistered number so I won't be able to provide you the details sir. So what",0,1,0,0
210,Yeah okay just just wait sir i am just transfer this call to Hindi agent. no don't transfer it naa don't transfer it.,0,1,0,1
211,Yeah that is why not delivered to me. Sorry for your inconvenience sir. May I know your whatsapp number?,0,1,0,0
212,Yeah yeah that's why you do not Renew the Policy and and policy online sir. What i should do?,0,0,1,0
213,"Yeah yeah yesterday they took my email I D they didn't reply at all , okay can you please provide your policy number Mister Kulkarni?.",0,1,1,0
214,Yeah.If you sending this mail id regarding to this problem.Ok where,0,1,0,0
215,Yes M a'am but if you don't want to like if you want to cancel the Policy,0,1,0,0
216,"Yes Sir Delhi only, then why you are asking me again. Just right now only you are asking me any other.",0,1,0,0
217,Yes Sir. I have an problem is there is a mistake in the gender. ok. so what.,0,0,1,0
218,"Yes madam, yes may I know if this intimation is this intimation you are doing because of cyclone which happened over here.",0,1,0,0
219,"Yes. Haan, I am trying to send you an email from the I D that I have received the Policy on. But it is not happening.",0,1,0,0
220,"Yesterday i requested for sending a claim form, okay, But i have not received so far.",0,1,0,0
221,Yesterday you mailed us. No no no yesterday also we have sent a physical cheque but that is.,0,1,0,0
222,"You are going to call back me. If the call gets disconnected then stay for online, I will transfer",0,1,0,1
223,"You are guiding me, you are guiding me, you are not doing the work, you are guiding me. That girl also guided me. She guided me.",1,0,0,0
224,"You are saying. Oh, please send us the information so that you can tell us about the mismatch. That is what this is sounding like.",0,1,0,0
225,You can't do that also. Yes sir. I am unable to. What service then you are giving? I am giving you my mobile number. You can't do. You want me to again do here go here go there.,0,1,0,0
226,"You didn't receive, somebody took my email I D haan, you didn't receive any claim form right now.",0,1,0,0
227,You have given me all the documents. What what else you want? What else you want? Still you don't want to trust me?,0,0,1,0
228,You know when I will get the message that you know how much money I am losing? I think you know Fifteenth Sixteenth I think it is,0,1,0,0
229,"You know, you have no powers. You have only powers to send me here and there. Sir, I will raise a request from my end Sir. You do it.",1,1,0,0
230,You people told me like you have sent out an mail right. Right Now. OK. But I have not received to my Inbox.,0,1,0,0
231,You the my it will be sent within three four days whatever. that time. And now one more message has come mail has come asking me to send again credit,0,1,0,0
232,Zero Double Two. sir I have to disconnect your call. One Nine Two Eight One Nine. there is no response from you Two Eight.,0,1,0,0
233,a insurance and so finally when i am trying to pay the rupees,0,1,0,0
234,a minute i just provide my passport number ok sir so long hello,0,1,0,0
235,a o where is this incident i told that you know total coverages should be there,0,0,1,0
236,a renewal and it is showing the policy not accept can you just provide me the,0,0,1,0
237,a same page of payment options and it is not going through ok did your payment has,0,1,0,0
238,a sorry third party proper damage plus on damage you have cover and plus add on cover nil dep,0,0,1,0
239,a that i want to confirm ok sir may i know your policy number sir? policy number i don't know you type just,0,0,1,0
240,a there was no just voluntree deductible of two thousand five hundred was there sir don't take voluntree de,0,0,1,0
241,a this is the one which i need to renew we renew yesterday only i got a mail,0,0,1,0
242,able to say what are the facility will I get. sorry sir I am not able to,0,1,0,0
243,accept buy online ok ok this is coming discounted plan it is showing,0,0,1,0
244,accident I have already lodged the police complain and I have got the copy of the police complaint as well.,0,0,0,1
245,actually i tried in that but it's it's asking for a garage location it is not allowing us to select the nearly garage location,0,1,0,0
246,actually i want to update the registered number on renewal payee,0,0,1,0
247,actually i was just inform you to this one ok settlement settlement is there no,0,1,0,0
248,actually it's not mentioned in the policy document. OK because I am seeing policy document I am confused little bit.,0,0,1,0
249,add on benefit is not available sir i see in my system it can't provide you can't provide,0,1,1,0
250,add voluntry deductable for two thousand fif two thousand five hundred slap the amount will be for,0,0,1,0
251,affiliated the nearest a garage I mean affiliated garage of yours where I can claim my policy today I have met with an ac.,0,1,0,0
252,after next year i don't getting new zero depreciation no no sir every year you got a,0,0,1,0
253,after selecting language you just press four and then two ok,1,0,0,0
254,after this call you will receive an S M S over there you need to feedback and share your feedback also. OK sure I will do that.,0,1,0,0
255,ah Suzuki vendor only just give me a minute I will get hello yes.,0,1,0,0
256,ah hospitals will be receiving the auto generated email when they are OK sending.,0,1,0,0
257,ah yeah where they have asked me to choose the five i don't understand what is that request,0,1,0,0
258,all our cars are renewed from reliance only ok I have got four policies four vehicle,0,0,1,0
259,all the documents will be shared surveyor and he will proceed ok ok ok acha acha because it is a new bike,0,0,1,0
260,"already have been renewed. It is not taking in the issue. OK., So May I know your",0,0,1,0
261,also four thousand rupees which is these are out from our side as it is not payable sir. then why i will,0,1,1,0
262,am i audible to you? yeah yeah some sort of disturbance is there ok no problem.,0,0,0,1
263,and electro electronic access is zero and non electrical access is zero zero what is this sir i don't understand,0,0,1,0
264,and for the bike it is a comprehensive policy only i believe,0,0,1,0
265,and if your policy will be bumper to bumper no so there is no no need to pay bumper to bumper,0,0,1,0
266,and my existing policy also expire today what will i do i can under you guys are not giving me anything in the writing that ok we will,0,0,1,0
267,and now they are saying this your claim can not be given this is not fair so why I i was invested thirteen thousand rupees,0,1,0,0
268,and the policy name is a is in my father's name but he died the three months back,0,0,1,0
269,and you need to update the garage details. OK OK then only our survey manager will visit the vehicle all right.,1,0,0,0
270,and your total premium amount is sum up two five thousand sixty eight rupees including g s t sir ok foryt two,0,0,1,0
271,any claim any claim i have told them now they when i am going to take a claim from reliance,0,1,0,0
272,any communication from Reliance ok i thought it is resolved last week i met with an accident,0,1,0,0
273,any issue of the premium or you can not calculate in this premium of your policy no no,0,0,1,0
274,anything I mean at the time of accident you need to call this number and you need to intimate that claim then only your survey manager will req.,1,1,0,0
275,"are not coming on line to talk to me. And inspite of all these things, you gave me a",0,1,0,0
276,as per common law which are the co decided that yes that will be pay by by company ok,0,1,0,0
277,as you click on that the details page will be open yeah the page open yeah the first it is written,0,0,1,0
278,b b eight six nine eight yeah i d v value for the current year is one lakh fifty two thousand,0,0,1,0
279,back response system. sure sure why not why not why not why not why not yes Bhaskar sir. please.,0,1,0,0
280,back there also ok hard copy haan sir for travel policy hard.,0,1,0,0
281,bata deta hoon zero dep policy rahega na haan zero depreciation with road side assistance vagerah,0,0,1,0
282,be eleven thousand two thirty so i wanted to know what is the coverage the last coverages you want,0,0,1,0
283,be mention that starts from R Three. R Three the message I D starts from R Three.,0,1,0,0
284,be online i will calculate the payment just be online yeah yeah just be online shall i give me my user i d and,0,1,0,0
285,because sir i mean rule of company sir minimum three year and maximum five year add on and add on cover benefit,0,0,1,0
286,because they were behaving like the same way you are behaving now today I have I have a problem from last one week my car is,1,0,0,0
287,because you are trying to renew this policy from website na yeah so the website will be,0,0,1,0
288,been an hour OK i will check with after that i didn't get a call that is why i am dealing here OK not an issue mam as,0,1,0,0
289,before that can you explain me about the plan what coverages that you are yes i explain you our,0,0,1,0
290,below sixty is not taking me ok ok that is why i wanted to know what is the amount that will be,0,0,1,0
291,bumper to bumper third party own damage or bumper to bumper yeh teeno ke liye kitna hoga bolo aap,0,0,1,0
292,"but  he never does.I have sent him so many messages. Sir, do you want to register a Complaint on him?",0,1,0,1
293,but for the current year you will get fifteen lakh rupees covered for the owner driver so that's,0,0,1,0
294,but he was not answering my calls no nee has he ever tried to call me up. Sorry that. So that's why I have to call you,0,1,0,0
295,but i am just unable to understand that change the premium should go down every year.,0,0,1,0
296,but i don't remember my name that's why but i am sorry sir sorry mam i won't be able to connect you with the S,0,0,0,1
297,but the policy is rejected can you what is the reason for,0,0,1,0
298,but we can't cover this vehicle because the vehicle is fifteen year old more than fifteen year old,0,0,1,0
299,but what the discount quote i have make for you in this policy there is a discount like,0,0,1,0
300,but you have to provide me the message I D sir that provide I don't know what is message I D they will given me a reference number which I give.,0,1,0,0
301,by visiting the branch and four thing is become a agent but i do not allow you to,1,0,0,0
302,c e o also i have written to imbursement also regarding that i have head of grievence also i have written to them,0,1,0,0
303,call back arrangement for your vehicle they will no no no call you no no for that also we can do it now only but what i am saying now is you need to give me information,0,1,0,0
304,call back to you. Then few minutes you will you will get a call back. OK. We assist further. Thanks.,0,1,0,0
305,call can go to any number of customer agent so what i am trying to say now is yesterday i could not get,1,0,0,0
306,call i will got the email yeah no issue sir you disconnnect the call after the confirm payement naa i will call you for the confirmation,0,1,0,0
307,call that is the that person is the patient yes and I can't expect him to call and you have my policy,0,1,0,0
308,call the concern department who help you out in a better way. you guys are just wasting my time seriously i last time i called you upon.,1,0,0,0
309,call. This arranging call back has happened from last so many days. He never called me up. Everytime I need,1,1,0,0
310,called half an hour back. I gave the same id and he could find it. and You are not able to find it.,0,1,0,0
311,called now. I have missed the cheque like yio have asked for.,0,1,0,0
312,"calling the number to do some changes. There was a error, while you know doing the",0,1,0,0
313,came a thirty six including nil depreciation and all thirty six did you select any kind of hidden discount,0,1,1,0
314,can I give you the A L number? sir we have the ah claim details but we need send.,0,1,0,0
315,can i explain you the benefit and everything yeah sure ok so this is a bumper to bumper policy,0,0,1,0
316,can i give you the new policy so you want to case no written communication from all verbal communication is happening,0,1,1,0
317,can not be done because i have taken a no claim bonus and i have taken claim on previous this,0,1,1,0
318,can not visit a branch no sir we are unable why because this de this is dealer policy dealer policy has,1,0,0,0
319,can we cover it yes sir you can cover it somebody told me last year that it is not possible only third party insurance is possible,0,0,1,0
320,can you not give me some discount on no claim bonus or anything else sir no claim bonus,0,1,1,0
321,can you sir just tell me your email I D please  in for my date is going at have per cent eight,0,1,0,0
322,can you tell me the next premium thirty five thousand five hundred forty nine after g s t forty one thousand nine hundred forty eight right,0,0,1,0
323,can't you open the policy also. yes sir I. because somebody told me that only the dealer can open it you can not open it.,1,0,0,0
324,cancellation cheque or passbook. I have missed that during courier. I just want to know is there any online provision to upload that document.,0,1,1,0
325,cancellation or any trip delay or any loss of luggage you can claim for this policy OK. OK.,0,1,1,0
326,car i want to cover my car so for that do you tell me what can be done from your end sir wait a minute i am going to calculate and i will tell you,0,0,1,0
